time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-09 00:00:00+00:00,43,22,31,17
2026-06-10 00:00:00+00:00,18,12,33,15
2026-06-11 00:00:00+00:00,31,14,9,9
2026-06-12 00:00:00+00:00,16,10,25,10
2026-06-13 00:00:00+00:00,32,16,14,8
2026-06-14 00:00:00+00:00,36,13,32,11
2026-06-15 00:00:00+00:00,18,12,19,12
2026-06-16 00:00:00+00:00,35,17,18,8
2026-06-17 00:00:00+00:00,110,23,16,12
2026-06-18 00:00:00+00:00,22,16,14,6
2026-06-19 00:00:00+00:00,43,21,12,8
2026-06-20 00:00:00+00:00,67,23,9,8
2026-06-21 00:00:00+00:00,25,12,15,13
2026-06-22 00:00:00+00:00,20,15,21,9
