time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-31 00:00:00+00:00,168,53,177,15
2026-06-01 00:00:00+00:00,37,22,13,11
2026-06-02 00:00:00+00:00,25,13,8,3
2026-06-03 00:00:00+00:00,39,23,68,9
2026-06-04 00:00:00+00:00,27,16,14,11
2026-06-05 00:00:00+00:00,22,16,19,17
2026-06-06 00:00:00+00:00,25,15,32,14
2026-06-07 00:00:00+00:00,25,11,20,8
2026-06-08 00:00:00+00:00,37,21,30,12
2026-06-09 00:00:00+00:00,43,22,31,17
2026-06-10 00:00:00+00:00,18,12,33,15
2026-06-11 00:00:00+00:00,31,14,9,9
2026-06-12 00:00:00+00:00,16,10,25,10
2026-06-13 00:00:00+00:00,32,16,14,8
