url_path,views_total,views_unique
/damionrashford/RivalSearchMCP,132,61
/damionrashford/RivalSearchMCP/issues,11,5
/damionrashford/RivalSearchMCP/pulls,11,4
/damionrashford/RivalSearchMCP/blob/main/skills/rival-search-mcp/SKILL.md,5,2
/damionrashford/RivalSearchMCP/tree/main/skills/rival-search-mcp,4,2
/damionrashford/RivalSearchMCP/tree/main,3,2
/damionrashford/RivalSearchMCP/tree/main/rival_search_mcp,3,2
/damionrashford/RivalSearchMCP/blob/main/docs/getting-started/installation.md,2,2
/damionrashford/RivalSearchMCP/blob/main/pyproject.toml,2,2
/damionrashford/RivalSearchMCP/issues/31,2,2
