url_path,views_total,views_unique
/damionrashford/RivalSearchMCP,124,85
/damionrashford/RivalSearchMCP/issues,12,9
/damionrashford/RivalSearchMCP/blob/main/README.md,5,4
/damionrashford/RivalSearchMCP/pulls,4,4
/damionrashford/RivalSearchMCP/pull/50,3,3
/damionrashford/RivalSearchMCP/issues/49,3,2
/damionrashford/RivalSearchMCP/commit/d478fc7548d55767ab1097b686c88d412a297aff,2,2
/damionrashford/RivalSearchMCP/blob/main/.claude-plugin/marketplace.json,2,1
/damionrashford/RivalSearchMCP/blob/main/CLAUDE.md,2,1
/damionrashford/RivalSearchMCP/pull/39,2,1
