url_path,views_total,views_unique
/damionrashford/RivalSearchMCP,215,97
/damionrashford/RivalSearchMCP/issues,10,6
/damionrashford/RivalSearchMCP/pulls,9,4
/damionrashford/RivalSearchMCP/tree/main,8,5
/damionrashford/RivalSearchMCP/tree/main/.claude-plugin,7,3
/damionrashford/RivalSearchMCP/blob/main/.claude-plugin/marketplace.json,7,2
/damionrashford/RivalSearchMCP/releases/tag/v1.2.0,5,2
/damionrashford/RivalSearchMCP/tree/main/docs,4,2
/damionrashford/RivalSearchMCP/actions/runs/26854297562,4,1
/damionrashford/RivalSearchMCP/tree/main/docs/stats,4,1
