url_path,views_total,views_unique
/damionrashford/RivalSearchMCP,219,107
/damionrashford/RivalSearchMCP/pulls,24,6
/damionrashford/RivalSearchMCP/issues,23,8
/damionrashford/RivalSearchMCP/tree/main/docs,12,3
/damionrashford/RivalSearchMCP/tree/main/docs/stats,12,2
/damionrashford/RivalSearchMCP/actions,10,2
/damionrashford/RivalSearchMCP/pull/45,9,2
/damionrashford/RivalSearchMCP/actions/workflows/github-repo-stats.yml,8,2
/damionrashford/RivalSearchMCP/blob/main/docs/stats/index.html,8,2
/damionrashford/RivalSearchMCP/issues/44,8,2
