time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-25 00:00:00+00:00,19,6,17,12
2026-05-26 00:00:00+00:00,59,23,23,13
2026-05-27 00:00:00+00:00,127,48,24,13
2026-05-28 00:00:00+00:00,65,22,65,6
2026-05-29 00:00:00+00:00,9,9,14,10
2026-05-30 00:00:00+00:00,9,7,39,12
2026-05-31 00:00:00+00:00,168,53,177,15
2026-06-01 00:00:00+00:00,37,22,13,11
2026-06-02 00:00:00+00:00,25,13,8,3
2026-06-03 00:00:00+00:00,39,23,68,9
2026-06-04 00:00:00+00:00,27,16,14,11
2026-06-05 00:00:00+00:00,22,16,19,17
2026-06-06 00:00:00+00:00,25,15,32,14
2026-06-07 00:00:00+00:00,25,11,20,8
