url_path,views_total,views_unique
/damionrashford/RivalSearchMCP,159,91
/damionrashford/RivalSearchMCP/issues,36,10
/damionrashford/RivalSearchMCP/pulls,28,8
/damionrashford/RivalSearchMCP/pull/45,9,2
/damionrashford/RivalSearchMCP/actions,8,2
/damionrashford/RivalSearchMCP/issues/44,8,2
/damionrashford/RivalSearchMCP/tree/main/docs,8,2
/damionrashford/RivalSearchMCP/tree/main/docs/stats,8,1
/damionrashford/RivalSearchMCP/tree/main/skills/rival-search-mcp,7,5
/damionrashford/RivalSearchMCP/actions/workflows/github-repo-stats.yml,7,1
