url_path,views_total,views_unique
/damionrashford/RivalSearchMCP,172,95
/damionrashford/RivalSearchMCP/issues,39,10
/damionrashford/RivalSearchMCP/pulls,31,8
/damionrashford/RivalSearchMCP/pull/45,9,2
/damionrashford/RivalSearchMCP/actions,8,2
/damionrashford/RivalSearchMCP/issues/44,8,2
/damionrashford/RivalSearchMCP/tree/main/docs,8,2
/damionrashford/RivalSearchMCP/tree/main/docs/stats,8,1
/damionrashford/RivalSearchMCP/actions/workflows/github-repo-stats.yml,7,1
/damionrashford/RivalSearchMCP/tree/main/skills/rival-search-mcp,5,4
